,25666
Occupation,8
BeingDead,11
Arriving,173
BeingAtAPlace,157
SocialInteraction,31
Giving,61
Leaving,164
BeingInARelationship,14
Request,52
HavingInPossession,316
StartingConflict,10
Trade,67
Transportation,204
Getting,102
Enslaving,116
BeingEmployed,40
InternalChange,5
BeingInDebt,5
Translocation,176
Buying,8
HavingContractualAgreement,13
Selling,7
Decreasing,2
BeingLeader,30
Replacing,16
Increasing,7
FallingIll,7
Visit,24
HavingInternalState-,10
BeginningARelationship,8
AlteringARelationship,26
EndingARelationship,3
BeingInConflict,25
LosingPossession,16
IntentionalDamaging,3
Destroying,28
BeingDamaged,11
Damaging,31
StartingAWar,29
Dying,8
TakingUnderControl,75
ViolentContest,13
Collaboration,15
Killing,44
ForceToAct,21
Attacking,16
ChangeOfPossession,11
FinancialTransaction,3
EndingContractualAgreement,5
LeavingAnOrganization,9
Mutiny,2
SocialStatusChange,2
Encounter,18
Voyage,23
Communication,88
Repairing,6
BeginningContractualAgreement,6
BeingAtPeace,3
BeingDestroyed,2
HavingInternalState+,14
None,9
Mismanagement,6
HavingAMedicalCondition,2
Besieging,2
Invasion,2
EndingConflict,6
Sinking,4
ExtendingContractualAgreement,6
QuantityChange,1
