,token,event,count
0,slaaf,Enslaving,4
1,gevangen,TakingUnderControl,13
2,diefte,Getting,2
3,gewelt,ViolentContest,6
4,diefstal,Getting,10
5,gebrooken,Destroying,2
6,buijten,Leaving,3
7,was,BeingAtAPlace,3
8,genoomen,Getting,2
9,staende,BeingAtAPlace,2
10,op,Damaging,5
11,gebragt,Transportation,3
12,gekomen,Arriving,4
13,ging,Translocation,4
14,genoomen,TakingUnderControl,2
15,gevangens,TakingUnderControl,2
16,met,Killing,4
17,de,Killing,6
18,dood,Killing,4
19,gestraft,Killing,4
20,dievereijen,Getting,2
21,dood,BeingDead,3
22,breeken,Damaging,2
23,dief,Getting,4
24,geklommen,Translocation,3
25,en,Damaging,2
26,gebrooken,Damaging,4
27,te,Killing,3
28,naer,Leaving,2
29,gaande,Leaving,3
30,werden,Killing,2
31,Compareerde,BeingAtAPlace,3
32,breekende,Damaging,2
33,gestoolen,Getting,3
34,gegeven,Giving,6
35,te,Damaging,2
36,ontfangen,Getting,14
37,weg,Leaving,2
38,Eisch,Request,2
39,is,HavingInternalState,3
40,een,HavingInternalState,3
41,nood,HavingInternalState,2
42,hebben,HavingInPossession,3
43,hadden,HavingInPossession,2
44,verzoeken,Request,2
45,te,BeingAtAPlace,2
46,te,Voyage,2
47,is,Arriving,2
48,Verzoeken,Request,3
49,is,BeingAtAPlace,2
50,te,Arriving,3
51,komen,Arriving,2
52,komt,Arriving,2
53,te,Translocation,2
54,brengen,Translocation,2
55,te,SocialInteraction,4
56,ons,SocialInteraction,2
57,had,SocialInteraction,2
58,geantwoord,SocialInteraction,2
59,te,ForceToAct,2
60,onze,HavingInPossession,2
61,Voorraad,HavingInPossession,2
62,te,HavingInPossession,2
63,in,HavingInPossession,2
64,zenden,Transportation,2
65,aan,Giving,2
66,hebben,Occupation,2
67,te,Destroying,3
68,den,Arriving,2
69,van,Arriving,2
70,Batavia,Arriving,2
71,bemant,HavingInPossession,10
72,was,HavingInPossession,11
73,gemontheerd,HavingInPossession,11
74,met,HavingInPossession,18
75,passagiers,Transportation,4
76,brengt,Transportation,11
77,aan,Transportation,10
78,per,HavingInPossession,2
79,van,HavingInPossession,4
80,den,HavingInPossession,3
81,oud,HavingInPossession,2
82,als,Transportation,2
83,versoek,Request,3
84,geven,Giving,3
85,senden,Translocation,4
86,versoekt,Request,2
87,senden,Transportation,3
88,verkoopen,Selling,4
89,versoeken,Request,3
90,versoeke,Request,2
91,geschreven,Giving,2
92,vertreckt,Leaving,2
93,Comen,Translocation,2
94,verschijnen,Visit,3
95,in,Replacing,2
96,verleene,Giving,2
97,waren,BeingAtAPlace,2
98,vertreden,Destroying,2
99,regeert,BeingLeader,2
100,gecomen,Arriving,2
101,aangeland,Arriving,2
